Manufacturer,Device,Generation,Dimensions (mm),,,,,,,,,,
,,,No Case,,,Slim Case,,,,Thick Case,,,
,,,Height,Width,Depth,Brand,Height,Width,Depth,Brand,Height,Width,Depth
Apple,iPhone Max,15 Pro,159.9,76.7,8.25,,,,,,,,
,,14 Pro,160.7,77.6,7.85,,,,,,,,
,,13 Pro,160.8,78.1,7.65,,,,,,,,
,,12 Pro,160.8,78.1,7.4,,,,,,,,
,,11 Pro,158.0,77.8,8.1,,,,,,,,
,,XS,157.5,77.4,7.7,,,,,,,,
,iPhone Plus,15,160.9,77.8,7.80,,,,,,,,
,,14,160.8,78.1,7.80,,,,,,,,
,,8,158.4,78.1,7.5,,,,,,,,
,,7,158.2,77.9,7.3,,,,,,,,
,,6s,158.2,77.9,7.3,,,,,,,,
,,6,158.1,77.8,7.1,,,,,,,,
,iPhone Pro,15,146.6,70.6,8.25,,,,,,,,
,,14,147.5,71.5,7.85,,,,,,,,
,,13,146.7,71.5,7.65,,,,,,,,
,,12,146.7,71.5,7.4,,,,,,,,
,,11,144.0,71.4,8.1,,,,,,,,
,iPhone,15,146.6,70.6,8.25,,,,,,,,
,,14,147.5,71.5,7.85,,,,,,,,
,,13,146.7,71.5,7.65,,,,,,,,
,,12,146.7,71.5,7.4,,,,,,,,
,,11,144.0,71.4,8.1,,,,,,,,
,,XS,143.6,70.9,7.7,,,,,,,,
,,X,143.6,70.9,7.7,,,,,,,,
,,SE 3,146.6,70.6,8.25,,,,,,,,
,,SE 2,146.7,71.5,7.4,,,,,,,,
,,8,138.4,67.3,7.3,,,,,,,,
,,7,138.3,67.1,7.1,,,,,,,,
,,6s,138.3,67.1,7.1,,,,,,,,
,,6,138.1,67.0,6.9,,,,,,,,
,iPhone mini,13,131.5,64.2,7.65,,,,,,,,
,,12,131.5,64.2,7.4,,,,,,,,
,,SE 1,123.8,58.6,7.6,,,,,,,,
,,5s,123.8,58.6,7.6,,,,,,,,
,,5c,124.4,59.2,8.97,,,,,,,,
,,5,123.8,58.6,7.6,,,,,,,,
,iPhone XR,XR,150.9,75.7,8.3,,,,,,,,
Samsung,Galaxy S Ultra,23,163.4,78.1,8.9,,,,,,,,
,,22,163.3,77.9,8.9,,,,,,,,
,,21 5G,165.1,75.6,8.9,,,,,,,,
,,20 5G,166.9,76.0,8.8,,,,,,,,
,Galaxy S+,21 5G,161.5,75.6,7.8,,,,,,,,
,Galaxy Note+,10,162.3,77.2,7.9,,,,,,,,
,Galaxy S+,23,157.8,76.2,7.6,,,,,,,,
,,22,157.4,75.8,7.6,,,,,,,,
,Galaxy S,23,146.3,70.9,7.6,,,,,,,,
,,22,146.0,70.6,7.6,,,,,,,,
,,21 5G,151.7,71.2,7.9,,,,,,,,
,Galaxy Note,10,151.0,71.8,7.9,,,,,,,,